시도명,시군구명,대형폐기물명,대형폐기물구분명,대형폐기물규격,유무료여부,수수료,관리기관명,데이터기준일자,제공기관코드,제공기관명
강원특별자치도,강릉시,2층침대 계단,가구류,모든 규격,유료,3000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,"돌침대(흙, 황토, 의료 포함)",가구류,2인용(폭 1.2m 이상),유료,22000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,"돌침대(흙, 황토, 의료 포함)",가구류,1인용(폭 1.2m 미만),유료,16000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,매트리스,가구류,2인용(폭 1.2m 이상),유료,12000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,매트리스,가구류,1인용(폭 1.2m 미만),유료,9000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,문갑,가구류,높이1m이상,유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,문갑,가구류,높이1m이하,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,문짝,가구류,목 재,유료,9000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,문짝,가구류,폐화유리,유료,18000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,문짝,가구류,강화유리,유료,22000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,서랍장,가구류,5단이상,유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,서랍장,가구류,4단이하,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,소파,가구류,4인용,유료,13000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,소파,가구류,3인용,유료,10000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,소파,가구류,2인용,유료,7000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,소파,가구류,1인용(방석부분 길이 80cm 기준),유료,5000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,소파,가구류,1인용 소파 카우치형,유료,7000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,소파,가구류,보조의자(소파스툴),유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,소파,가구류,1인용 베드(접이식),유료,5000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,소파,가구류,2인용 베드(접이식),유료,7000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,소파,가구류,"돌소파(흙, 황토, 의료 포함)(모든 규격)",유료,15000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,식탁,가구류,6인용 이상(목재),유료,9000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,식탁,가구류,6인용 미만(목재),유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,식탁,가구류,6인용 이상(대리석),유료,22000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,식탁,가구류,6인용 미만(대리석),유료,18000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,신발장,가구류,높이 1m 이상,유료,7000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
